model,accuracy,precision,rmse_prob,auc
Random Forest (Calibrated),0.804324894514768,0.48672566371681414,0.34645846926346346,0.8254013843045752
Neural Net (MLP),0.7974683544303798,0.476878612716763,0.36198418430238954,0.8379995518438424
Naive Bayes (Gaussian),0.6339662447257384,0.2838196286472148,0.6050072357205835,0.614059298884589
