operator,accidents,category
Island Express Air,1,Commercial
JRM Air LLC,1,Commercial
Jet It LLC,1,Private
Jet Sales LLC,1,Private
Jet2,2,Private
JetBlue Airways,1,Private
Jetleg Management,1,Private
Jetport,1,Private
Jett Aircraft,1,Private
Jhonlin Air Transport,1,Commercial
Ju-Air,1,Commercial
Jubba Airways,1,Commercial
Kalitta Air,2,Commercial
Kalitta Charters,2,Private
Kamaka Air,1,Commercial
Kapowsin Air Sports,1,Commercial
"Kapowsin Air Sports, opf Skydive San Diego",1,Commercial
Kazairtrans Airline,1,Commercial
Kazakhstan Air Defence Force,1,Commercial
Keewatin Air,2,Commercial
Kenya Airways,2,Commercial
Key Lime Air,2,Commercial
Korean Air,4,Commercial
LATAM Airlines Brasil,1,Commercial
Lake & Peninsula Airlines,1,Commercial
Lake Clark Air,1,Commercial
Lake Clark Air Services,1,Commercial
Legacy Air LLC,1,Commercial
Libyan Air Cargo,1,Cargo
Libyan Airlines,1,Commercial
Lion Air,3,Commercial
Lionair Inc.,2,Commercial
"Lynden Air Cargo, opf PNG Air",1,Cargo
MM-Air LLC,1,Commercial
Mahan Air,1,Commercial
Major Blue Air,1,Commercial
Makalu Air,1,Commercial
Makani Kai Air,1,Commercial
Malaysia Airlines,1,Commercial
Malta Air,1,Commercial
Mandarin Airlines,1,Commercial
Manta Air,1,Commercial
Martinair Inc.,1,Commercial
Martinaire,5,Commercial
Mauritania Airlines International,1,Commercial
Maya Island Air,1,Commercial
Meander Air II,1,Commercial
Med Air,1,Commercial
Med Air Inc,1,Commercial
Mega Aircompany,1,Commercial
Miami Air International,1,Commercial
Million Air San Juan,1,Commercial
Mistral Air,1,Commercial
Mokulele Airlines,1,Commercial
Morningstar Air Express,1,Commercial
"Mountain Air Cargo, opf FedEx",1,Cargo
Myanmar National Airlines,1,Commercial
Naryan-Mar Air Enterprise,2,Commercial
Nature Air,1,Commercial
Nippon Cargo Airlines,1,Cargo
Nok Air,1,Commercial
Nordwind Airlines,1,Commercial
North Star Air,2,Commercial
"North Star Air, opb Private Air",1,Private
North-Wright Airways,1,Commercial
Northwestern Air,1,Commercial
Norwegian Air UK,1,Commercial
Novair,1,Commercial
Omni Air International,3,Commercial
Onur Air,1,Commercial
"Optimum Aviation, opf Euro Airlines",1,Commercial
Oriental Air Bridge,1,Commercial
Overland Airways,1,Commercial
OzAir Charter Service,1,Private
Ozark Air Services,1,Commercial
PACC Air,1,Commercial
PAL Airlines,1,Commercial
"PAL Airlines, opf EHS LifeFlight Services",1,Commercial
PB Air LLC,1,Commercial
PSA Airlines,1,Commercial
"PSA Airlines, opf American Eagle",4,Commercial
Parachutisme Nouvel Air,1,Commercial
Pegasus Airlines,2,Commercial
PenAir,1,Commercial
Penial Air,1,Commercial
"Penial Air, opf Sigale Air",1,Commercial
Peruvian Airlines,2,Commercial
Philippine Air Lines,1,Commercial
Phoenix Air,1,Commercial
Pineapple Air,1,Commercial
Pinnacle Air Charter,1,Private
"Platinum Jet Co., Ltd.",1,Private
Precision Air,1,Commercial
Priority Air Charter,1,Private
Private,2,Private
Private Airlines Germany,1,Private
Private Jets,1,Private
Pro by Air,1,Commercial
ProAir,1,Commercial
Qatar Airways,1,Commercial
Qatar Airways Cargo,1,Cargo
Qeshm Air,1,Commercial
RED Air,1,Commercial
Remonia Air,1,Commercial
"Republic Airlines, opf Delta Connection",1,Commercial
Rimbun Air,1,Commercial
"Rimbun Air, opb Carpediem Aviation",1,Commercial
