operator,accidents,category
CSM Agropecuária,1,Unknown
CTEH,1,Unknown
"Cainiao, opb Aviastar-TU",1,Unknown
Calafia Airlines,1,Commercial
Calm Air International,1,Commercial
Canadian Pacific Railway,1,Unknown
Care Aviation,1,Unknown
"Caridad Aviation, LLC",1,Unknown
Carol 1 LLC,1,Unknown
Caroline Islands Air,2,Commercial
Caspian Airlines,2,Commercial
Castle Aviation,1,Unknown
Cathay Pacific,1,Unknown
Caverton Helicopters,1,Unknown
Cavok Air,3,Commercial
Cebu Pacific Air,1,Commercial
Chair Airlines,1,Commercial
Chartright Air,1,Commercial
Chen Aircrafts,1,Commercial
Chilean AF,1,Unknown
China Air Force,2,Military
China Eastern,1,Unknown
City Link,1,Unknown
"Citywing, opb Van Air Europe",1,Commercial
Classic Aviation,1,Unknown
Club Tiroler Adler,1,Unknown
Coastal Aviation,2,Unknown
Cobham Aviation Services,1,Unknown
Coco Aviation,1,Unknown
Colcharter,1,Private
Colombian Army,1,Unknown
Colombian Police,2,Unknown
"CommutAir, opf United Express",1,Commercial
Compass Aviation LLC,1,Unknown
Compañia de Aviación y Logística Empresarial,1,Unknown
Conair,2,Commercial
Condor Flugdienst,1,Unknown
Connair Consulting LLC,1,Commercial
Connecticut Parachutists,1,Unknown
Conquest Air Cargo,1,Cargo
Constanta Airlines,1,Commercial
Copa Airlines,1,Commercial
Copper Mountain Aviation LLC,1,Unknown
Corporate and Leisure Charters,1,Private
Cottingham & Butler Insurance Services,1,Unknown
Coulson Aviation,2,Unknown
Craig LLC,1,Unknown
Crop Protection Company,2,Unknown
"Crye-Leike South, Inc",1,Unknown
Cubana,1,Unknown
"Cubana, lsf Global Air",1,Commercial
D.R. Congo AF,3,Unknown
DHL Aero Expreso,1,Unknown
DOSAAF,3,Unknown
"DOSAAF, Gvardeysky ATSK",1,Unknown
Dabi Air Nusantara,1,Commercial
Daily Air,1,Commercial
DalTransAero,1,Unknown
Dana Air,1,Commercial
Delta Air Lines,11,Commercial
Delta Private Jets,2,Private
Denver Air Connection,1,Commercial
Desert-Air Safaris,1,Commercial
Dimed SA Distribuidora da Medicamentos,1,Unknown
Dimonim Air,1,Commercial
Dirt Dynamics,1,Unknown
Doren Air Congo,3,Commercial
Dos Mil Aerosistema SA,2,Unknown
Duk Air Travel,1,Commercial
EE Operations LLC,1,Unknown
ELISA,1,Unknown
EMD Astra Holdings,1,Unknown
ENSA,2,Unknown
EP Aviation,1,Unknown
ERG Holdings,1,Unknown
ETA Air Charter,1,Private
ETG Aviation,1,Unknown
Eagle Air,2,Commercial
Eagle Jet 300 LLC,1,Private
East Coast Jets,1,Private
East Wing,1,Unknown
Eastern Air Express,1,Commercial
Eastern Air Services,1,Commercial
Eastern Airways,1,Commercial
Eclipse Transport,1,Unknown
Edelweiss Air,1,Commercial
Edwards Jet Center,1,Private
EgyptAir,1,Commercial
El Al,1,Unknown
Eletric Power Construção,1,Unknown
Ellinair,1,Commercial
Embraer,1,Unknown
Emirates,1,Unknown
"Endeavor Air, opf Delta Connection",2,Commercial
Enggang Air Service,1,Commercial
Equaflight,1,Unknown
Equatorial Guinea AF,1,Unknown
Estoair,1,Commercial
Ethiopian AF,2,Unknown
Ethiopian Airlines,5,Commercial
Europe Air,2,Commercial
European Air Transport,1,Commercial
"European Union, lsf AirTraffic Africa",1,Commercial
