operator,accidents,category
Western Wings Corp,1,Unknown
Westwind Air Service,1,Commercial
Windward Express Airways,1,Commercial
Wings Air,1,Commercial
Wings Over Kississing,1,Unknown
Wizz Air,1,Commercial
World Atlantic Airlines,1,Commercial
Worldwide Jet Charter,1,Private
Wright Air Service,1,Commercial
Xiamen Airlines,1,Commercial
Yakutat Coastal Airlines,1,Commercial
Yakutia Airlines,1,Commercial
Yankee Dawdle LLC,1,Unknown
Yeti Airlines,1,Commercial
ZAM Air Service,1,Commercial
Zambian Air Force,1,Military
Zeliff Aviation,1,Unknown
Zeus-Avia,1,Unknown
bmi regional,1,Unknown
easyJet,3,Private
easyJet Europe,1,Private
private,107,Private
